Reference,Description_1,Unit_L,Unit_W,Unit_H,Test_Peformed,Materials,Price,Description_2,Price_Type,MOQ,Qty_Per_Carton,Carton_L,Carton_W,Carton_H
HP-L161120-4,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1611A,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L16417B,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1643,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,6.5,,1,,,,,
HP-L1645,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4.8,,1,,,,,
HP-L16A,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L170418,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L170419,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.3,,1,,,,,
HP-L170531,Party Badge,5.8,5.1,,,Alloy/Resin/Plastic/ABS,3.1,,1,,,,,
HP-L170531B,Party Badge,5.8,5.1,,,Alloy/Resin/Plastic/ABS,3.1,,1,,,,,
HP-L171030-5,Halloween necklace (5 Bones),,,,,Alloy/Resin/Plastic/ABS,4.9,,1,,240,40,30,40
HP-L171012-2,Halloween necklace,,,,,,5.2,,1,,,,,
HP-L1741,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.5,,1,,,,,
HP-L17410,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17412,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17414,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17415,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17416,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17417,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17418,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L174181,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L174182,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17419,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,2.5,,1,,,,,
HP-L1742,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.8,,1,,144,60,35,45
HP-L17420,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17421,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17422,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17426,Party Crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17427,Party Crown,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17430,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17432,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17437,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1744,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1744B,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1744C,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.2,,1,,,,,
HP-L1746,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1747,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.28,,1,,,,,
HP-L1748,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1748B,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
